id,eta_fM2_SAEM,eta_delta_V_SAEM,eta_delta_S_SAEM,eta_theta_SAEM,eta_delta_Ab_SAEM,eta_alpha_SAEM,eta_fM2_mean,eta_delta_V_mean,eta_delta_S_mean,eta_theta_mean,eta_delta_Ab_mean,eta_alpha_mean,eta_fM2_mode,eta_delta_V_mode,eta_delta_S_mode,eta_theta_mode,eta_delta_Ab_mode,eta_alpha_mode,eta_fM2_sd,eta_delta_V_sd,eta_delta_S_sd,eta_theta_sd,eta_delta_Ab_sd,eta_alpha_sd
72,-0.257228,0,0,-0.148052,0,0,-0.235141,0,0,-0.221581,0,0,-0.225121,0,0,-0.161695,0,0,0.104038,0,0,0.194426,0,0
73,0.746491,0,0,0.297822,0,0,0.755935,0,0,0.352669,0,0,0.755973,0,0,0.32248,0,0,0.0401593,0,0,0.170728,0,0
74,-0.943781,0,0,0.101015,0,0,-0.907379,0,0,0.150679,0,0,-0.84821,0,0,0.0975689,0,0,0.221945,0,0,0.198551,0,0
75,-0.688181,0,0,-0.801677,0,0,-0.687896,0,0,-0.801599,0,0,-0.633932,0,0,-0.796868,0,0,0.158907,0,0,0.18,0,0
76,0.364239,0,0,0.29825,0,0,0.356744,0,0,0.307902,0,0,0.361921,0,0,0.303586,0,0,0.0438194,0,0,0.156035,0,0
77,0.125389,0,0,0.0232188,0,0,0.129226,0,0,-0.0259126,0,0,0.139611,0,0,0.0180317,0,0,0.0577909,0,0,0.175097,0,0
78,0.352425,0,0,0.415075,0,0,0.354726,0,0,0.437094,0,0,0.347528,0,0,0.411912,0,0,0.0755416,0,0,0.180705,0,0
79,0.875211,0,0,0.048012,0,0,0.863663,0,0,0.0467631,0,0,0.869197,0,0,0.0356445,0,0,0.0395306,0,0,0.233385,0,0
80,0.284138,0,0,-0.245381,0,0,0.2609,0,0,-0.204129,0,0,0.280913,0,0,-0.228659,0,0,0.0732088,0,0,0.202815,0,0
81,-1.33685,0,0,-0.183219,0,0,-1.36138,0,0,-0.106463,0,0,-1.30377,0,0,-0.174751,0,0,0.292293,0,0,0.19669,0,0
82,0.557529,0,0,-0.182897,0,0,0.561007,0,0,-0.257612,0,0,0.558039,0,0,-0.217044,0,0,0.0504373,0,0,0.188792,0,0
83,1.49678,0,0,0.402357,0,0,1.49131,0,0,0.474348,0,0,1.49098,0,0,0.433163,0,0,0.0117369,0,0,0.227845,0,0
84,0.238238,0,0,0.464061,0,0,0.22182,0,0,0.430395,0,0,0.234662,0,0,0.464551,0,0,0.0483578,0,0,0.175979,0,0
85,1.44654,0,0,0.0116472,0,0,1.4482,0,0,-0.00126903,0,0,1.43849,0,0,0.00786712,0,0,0.0173981,0,0,0.176858,0,0
86,-1.2449,0,0,0.253036,0,0,-1.19926,0,0,0.242339,0,0,-1.13912,0,0,0.274264,0,0,0.294479,0,0,0.196099,0,0
87,0.00354234,0,0,-0.0706047,0,0,-0.00587136,0,0,-0.131127,0,0,0.0107039,0,0,-0.0716523,0,0,0.0797353,0,0,0.217199,0,0
88,-1.11606,0,0,-0.533827,0,0,-1.04431,0,0,-0.566526,0,0,-0.999527,0,0,-0.516438,0,0,0.210583,0,0,0.164365,0,0
89,-1.97925,0,0,0.594749,0,0,-2.06826,0,0,0.602605,0,0,-1.9869,0,0,0.598627,0,0,0.385301,0,0,0.193173,0,0
90,0.304167,0,0,-0.102184,0,0,0.311005,0,0,-0.0682045,0,0,0.310789,0,0,-0.0624099,0,0,0.0676739,0,0,0.217772,0,0
91,0.0786941,0,0,-0.100483,0,0,0.0834558,0,0,-0.0977438,0,0,0.0818408,0,0,-0.0971566,0,0,0.0818508,0,0,0.161374,0,0
92,-1.54573,0,0,0.128112,0,0,-1.47173,0,0,0.0881918,0,0,-1.46003,0,0,0.0948995,0,0,0.335786,0,0,0.192643,0,0
93,-1.14821,0,0,-0.404232,0,0,-1.15389,0,0,-0.335049,0,0,-1.0284,0,0,-0.349627,0,0,0.276798,0,0,0.17806,0,0
94,-0.293783,0,0,0.428776,0,0,-0.272457,0,0,0.53621,0,0,-0.270696,0,0,0.491455,0,0,0.107283,0,0,0.142628,0,0
95,0.164618,0,0,0.170376,0,0,0.169254,0,0,0.153112,0,0,0.175596,0,0,0.180677,0,0,0.0623525,0,0,0.165606,0,0
96,-0.720188,0,0,-0.115978,0,0,-0.658187,0,0,-0.0821593,0,0,-0.655699,0,0,-0.122963,0,0,0.176181,0,0,0.170718,0,0
97,1.68718,0,0,0.181568,0,0,1.69652,0,0,0.188048,0,0,1.68986,0,0,0.16225,0,0,0.0114006,0,0,0.21251,0,0
98,1.188,0,0,-0.484783,0,0,1.17788,0,0,-0.424025,0,0,1.18887,0,0,-0.493913,0,0,0.0247547,0,0,0.201977,0,0
99,0.0310299,0,0,-0.412917,0,0,0.0176367,0,0,-0.438963,0,0,0.0423487,0,0,-0.421728,0,0,0.0945758,0,0,0.21177,0,0
100,-0.076337,0,0,1.00125,0,0,-0.100987,0,0,1.00064,0,0,-0.0664879,0,0,0.969243,0,0,0.0864242,0,0,0.142893,0,0
