rep,id,p1,p2,alpha1,alpha2
10,14,1.54234,1,0.5,-0.3
1,15,3.74052,1,0.5,-0.3
2,15,3.73961,1,0.5,-0.3
3,15,3.74004,1,0.5,-0.3
4,15,3.74068,1,0.5,-0.3
5,15,3.74293,1,0.5,-0.3
6,15,3.74247,1,0.5,-0.3
7,15,3.74362,1,0.5,-0.3
8,15,3.74356,1,0.5,-0.3
9,15,3.74173,1,0.5,-0.3
10,15,3.73968,1,0.5,-0.3
1,16,2.8536,1,0.5,-0.3
2,16,2.85163,1,0.5,-0.3
3,16,2.85494,1,0.5,-0.3
4,16,2.852,1,0.5,-0.3
5,16,2.85532,1,0.5,-0.3
6,16,2.85256,1,0.5,-0.3
7,16,2.8519,1,0.5,-0.3
8,16,2.85527,1,0.5,-0.3
9,16,2.85272,1,0.5,-0.3
10,16,2.85393,1,0.5,-0.3
1,17,4.08362,1,0.5,-0.3
2,17,4.08037,1,0.5,-0.3
3,17,4.08035,1,0.5,-0.3
4,17,4.08032,1,0.5,-0.3
5,17,4.07804,1,0.5,-0.3
6,17,4.08047,1,0.5,-0.3
7,17,4.08058,1,0.5,-0.3
8,17,4.08012,1,0.5,-0.3
9,17,4.07813,1,0.5,-0.3
10,17,4.08043,1,0.5,-0.3
1,18,3.71125,1,0.5,-0.3
2,18,3.71335,1,0.5,-0.3
3,18,3.71335,1,0.5,-0.3
4,18,3.70889,1,0.5,-0.3
5,18,3.71561,1,0.5,-0.3
6,18,3.7161,1,0.5,-0.3
7,18,3.71344,1,0.5,-0.3
8,18,3.71088,1,0.5,-0.3
9,18,3.71475,1,0.5,-0.3
10,18,3.71447,1,0.5,-0.3
1,19,2.72001,1,0.5,-0.3
2,19,2.72069,1,0.5,-0.3
3,19,2.72344,1,0.5,-0.3
4,19,2.72086,1,0.5,-0.3
5,19,2.7219,1,0.5,-0.3
6,19,2.72019,1,0.5,-0.3
7,19,2.72243,1,0.5,-0.3
8,19,2.7185,1,0.5,-0.3
9,19,2.72125,1,0.5,-0.3
10,19,2.72014,1,0.5,-0.3
1,20,2.29554,1,0.5,-0.3
2,20,2.29428,1,0.5,-0.3
3,20,2.29594,1,0.5,-0.3
4,20,2.29732,1,0.5,-0.3
5,20,2.29802,1,0.5,-0.3
6,20,2.29953,1,0.5,-0.3
7,20,2.29442,1,0.5,-0.3
8,20,2.29478,1,0.5,-0.3
9,20,2.29697,1,0.5,-0.3
10,20,2.29552,1,0.5,-0.3
1,21,2.51008,1,0.5,-0.3
2,21,2.5105,1,0.5,-0.3
3,21,2.50636,1,0.5,-0.3
4,21,2.50741,1,0.5,-0.3
5,21,2.50948,1,0.5,-0.3
6,21,2.50778,1,0.5,-0.3
7,21,2.50667,1,0.5,-0.3
8,21,2.5081,1,0.5,-0.3
9,21,2.50779,1,0.5,-0.3
10,21,2.507,1,0.5,-0.3
1,22,2.30772,1,0.5,-0.3
2,22,2.30727,1,0.5,-0.3
3,22,2.30825,1,0.5,-0.3
4,22,2.30875,1,0.5,-0.3
5,22,2.30796,1,0.5,-0.3
6,22,2.31079,1,0.5,-0.3
7,22,2.30998,1,0.5,-0.3
8,22,2.31316,1,0.5,-0.3
9,22,2.30999,1,0.5,-0.3
10,22,2.31017,1,0.5,-0.3
1,23,1.63909,1,0.5,-0.3
2,23,1.63963,1,0.5,-0.3
3,23,1.63923,1,0.5,-0.3
4,23,1.64107,1,0.5,-0.3
5,23,1.64029,1,0.5,-0.3
6,23,1.63838,1,0.5,-0.3
7,23,1.6381,1,0.5,-0.3
8,23,1.64087,1,0.5,-0.3
9,23,1.63686,1,0.5,-0.3
10,23,1.63993,1,0.5,-0.3
1,24,2.60409,1,0.5,-0.3
2,24,2.60086,1,0.5,-0.3
3,24,2.60675,1,0.5,-0.3
4,24,2.60105,1,0.5,-0.3
5,24,2.60344,1,0.5,-0.3
6,24,2.60344,1,0.5,-0.3
7,24,2.60596,1,0.5,-0.3
8,24,2.60645,1,0.5,-0.3
9,24,2.60672,1,0.5,-0.3
10,24,2.60378,1,0.5,-0.3
1,25,2.98581,1,0.5,-0.3
2,25,2.98184,1,0.5,-0.3
3,25,2.9865,1,0.5,-0.3
4,25,2.98203,1,0.5,-0.3
5,25,2.98536,1,0.5,-0.3
6,25,2.98296,1,0.5,-0.3
7,25,2.9852,1,0.5,-0.3
8,25,2.98577,1,0.5,-0.3
9,25,2.98392,1,0.5,-0.3
10,25,2.98587,1,0.5,-0.3
1,26,2.66098,1,0.5,-0.3
2,26,2.66166,1,0.5,-0.3
3,26,2.66145,1,0.5,-0.3
4,26,2.66372,1,0.5,-0.3
5,26,2.6604,1,0.5,-0.3
6,26,2.66391,1,0.5,-0.3
7,26,2.65917,1,0.5,-0.3
8,26,2.66004,1,0.5,-0.3
9,26,2.66153,1,0.5,-0.3
10,26,2.65979,1,0.5,-0.3
1,27,3.81576,1,0.5,-0.3
2,27,3.8178,1,0.5,-0.3
3,27,3.8174,1,0.5,-0.3
4,27,3.81572,1,0.5,-0.3
5,27,3.82059,1,0.5,-0.3
6,27,3.81883,1,0.5,-0.3
7,27,3.81811,1,0.5,-0.3
8,27,3.81893,1,0.5,-0.3
9,27,3.81909,1,0.5,-0.3
10,27,3.81667,1,0.5,-0.3
1,28,3.25344,1,0.5,-0.3
2,28,3.25574,1,0.5,-0.3
3,28,3.25484,1,0.5,-0.3
4,28,3.25581,1,0.5,-0.3
5,28,3.25394,1,0.5,-0.3
6,28,3.25334,1,0.5,-0.3
7,28,3.25361,1,0.5,-0.3
8,28,3.2559,1,0.5,-0.3
9,28,3.25333,1,0.5,-0.3
10,28,3.25351,1,0.5,-0.3
1,29,1.99327,1,0.5,-0.3
2,29,1.99105,1,0.5,-0.3
3,29,1.99393,1,0.5,-0.3
4,29,1.99293,1,0.5,-0.3
5,29,1.99097,1,0.5,-0.3
6,29,1.99455,1,0.5,-0.3
7,29,1.99026,1,0.5,-0.3
8,29,1.99237,1,0.5,-0.3
9,29,1.99059,1,0.5,-0.3
10,29,1.98803,1,0.5,-0.3
1,30,3.80923,1,0.5,-0.3
2,30,3.80653,1,0.5,-0.3
3,30,3.81008,1,0.5,-0.3
4,30,3.80854,1,0.5,-0.3
5,30,3.80848,1,0.5,-0.3
6,30,3.80681,1,0.5,-0.3
7,30,3.81027,1,0.5,-0.3
8,30,3.81035,1,0.5,-0.3
9,30,3.80501,1,0.5,-0.3
10,30,3.80732,1,0.5,-0.3
1,31,3.19767,1,0.5,-0.3
2,31,3.19767,1,0.5,-0.3
3,31,3.19926,1,0.5,-0.3
4,31,3.19658,1,0.5,-0.3
5,31,3.1975,1,0.5,-0.3
6,31,3.19931,1,0.5,-0.3
7,31,3.19643,1,0.5,-0.3
8,31,3.19675,1,0.5,-0.3
9,31,3.19896,1,0.5,-0.3
10,31,3.19683,1,0.5,-0.3
1,32,3.10065,1,0.5,-0.3
2,32,3.10211,1,0.5,-0.3
3,32,3.10013,1,0.5,-0.3
4,32,3.10207,1,0.5,-0.3
5,32,3.10282,1,0.5,-0.3
6,32,3.10228,1,0.5,-0.3
