rep,id,eta_p1,eta_p2,eta_alpha1,eta_alpha2
4,21,-0.492588,0,0,0
5,21,-0.490517,0,0,0
6,21,-0.492219,0,0,0
7,21,-0.493333,0,0,0
8,21,-0.491905,0,0,0
9,21,-0.492212,0,0,0
10,21,-0.493004,0,0,0
1,22,-0.692282,0,0,0
2,22,-0.692734,0,0,0
3,22,-0.691749,0,0,0
4,22,-0.691246,0,0,0
5,22,-0.692036,0,0,0
6,22,-0.689211,0,0,0
7,22,-0.690016,0,0,0
8,22,-0.68684,0,0,0
9,22,-0.690007,0,0,0
10,22,-0.689827,0,0,0
1,23,-1.36091,0,0,0
2,23,-1.36037,0,0,0
3,23,-1.36077,0,0,0
4,23,-1.35893,0,0,0
5,23,-1.35971,0,0,0
6,23,-1.36162,0,0,0
7,23,-1.3619,0,0,0
8,23,-1.35913,0,0,0
9,23,-1.36314,0,0,0
10,23,-1.36007,0,0,0
1,24,-0.395907,0,0,0
2,24,-0.399144,0,0,0
3,24,-0.393247,0,0,0
4,24,-0.398946,0,0,0
5,24,-0.396564,0,0,0
6,24,-0.396564,0,0,0
7,24,-0.394037,0,0,0
8,24,-0.393549,0,0,0
9,24,-0.393278,0,0,0
10,24,-0.396216,0,0,0
1,25,-0.0141942,0,0,0
2,25,-0.0181589,0,0,0
3,25,-0.0134972,0,0,0
4,25,-0.0179652,0,0,0
5,25,-0.0146396,0,0,0
6,25,-0.0170438,0,0,0
7,25,-0.0147967,0,0,0
8,25,-0.0142255,0,0,0
9,25,-0.0160752,0,0,0
10,25,-0.0141331,0,0,0
1,26,-0.339021,0,0,0
2,26,-0.338342,0,0,0
3,26,-0.338553,0,0,0
4,26,-0.336283,0,0,0
5,26,-0.339602,0,0,0
6,26,-0.336085,0,0,0
7,26,-0.340834,0,0,0
8,26,-0.339958,0,0,0
9,26,-0.33847,0,0,0
10,26,-0.340209,0,0,0
1,27,0.815762,0,0,0
2,27,0.817805,0,0,0
3,27,0.817397,0,0,0
4,27,0.815723,0,0,0
5,27,0.820594,0,0,0
6,27,0.81883,0,0,0
7,27,0.818107,0,0,0
8,27,0.818928,0,0,0
9,27,0.819091,0,0,0
10,27,0.816672,0,0,0
1,28,0.253443,0,0,0
2,28,0.255737,0,0,0
3,28,0.254836,0,0,0
4,28,0.255811,0,0,0
5,28,0.253943,0,0,0
6,28,0.253335,0,0,0
7,28,0.25361,0,0,0
8,28,0.255903,0,0,0
9,28,0.253335,0,0,0
10,28,0.253507,0,0,0
1,29,-1.00673,0,0,0
2,29,-1.00895,0,0,0
3,29,-1.00607,0,0,0
4,29,-1.00707,0,0,0
5,29,-1.00903,0,0,0
6,29,-1.00545,0,0,0
7,29,-1.00974,0,0,0
8,29,-1.00763,0,0,0
9,29,-1.00941,0,0,0
10,29,-1.01197,0,0,0
1,30,0.809233,0,0,0
2,30,0.806532,0,0,0
3,30,0.810077,0,0,0
4,30,0.808541,0,0,0
5,30,0.808478,0,0,0
6,30,0.806811,0,0,0
7,30,0.810273,0,0,0
8,30,0.810351,0,0,0
9,30,0.80501,0,0,0
10,30,0.807318,0,0,0
1,31,0.197669,0,0,0
2,31,0.197669,0,0,0
3,31,0.199257,0,0,0
4,31,0.196583,0,0,0
5,31,0.197498,0,0,0
6,31,0.199312,0,0,0
7,31,0.19643,0,0,0
8,31,0.196752,0,0,0
9,31,0.198955,0,0,0
10,31,0.196826,0,0,0
1,32,0.100646,0,0,0
2,32,0.102114,0,0,0
3,32,0.10013,0,0,0
4,32,0.102071,0,0,0
5,32,0.102822,0,0,0
6,32,0.102277,0,0,0
7,32,0.102277,0,0,0
8,32,0.103122,0,0,0
9,32,0.102709,0,0,0
10,32,0.100613,0,0,0
1,33,-0.463688,0,0,0
2,33,-0.462441,0,0,0
3,33,-0.464322,0,0,0
4,33,-0.464055,0,0,0
5,33,-0.464055,0,0,0
6,33,-0.463161,0,0,0
7,33,-0.46157,0,0,0
8,33,-0.462728,0,0,0
9,33,-0.464885,0,0,0
10,33,-0.462195,0,0,0
1,34,-0.970625,0,0,0
2,34,-0.970625,0,0,0
3,34,-0.971566,0,0,0
4,34,-0.970265,0,0,0
5,34,-0.969045,0,0,0
6,34,-0.968369,0,0,0
7,34,-0.970685,0,0,0
8,34,-0.971409,0,0,0
9,34,-0.970551,0,0,0
10,34,-0.969241,0,0,0
1,35,1.26489,0,0,0
2,35,1.26508,0,0,0
3,35,1.26598,0,0,0
4,35,1.26687,0,0,0
5,35,1.26572,0,0,0
6,35,1.26778,0,0,0
7,35,1.26784,0,0,0
8,35,1.27036,0,0,0
9,35,1.27121,0,0,0
10,35,1.26785,0,0,0
1,36,-0.431739,0,0,0
2,36,-0.433941,0,0,0
3,36,-0.433941,0,0,0
4,36,-0.43269,0,0,0
5,36,-0.433103,0,0,0
6,36,-0.432539,0,0,0
7,36,-0.432508,0,0,0
8,36,-0.43261,0,0,0
9,36,-0.433665,0,0,0
10,36,-0.428983,0,0,0
1,37,-0.478044,0,0,0
2,37,-0.478582,0,0,0
3,37,-0.478616,0,0,0
4,37,-0.479025,0,0,0
5,37,-0.481634,0,0,0
6,37,-0.47949,0,0,0
7,37,-0.479045,0,0,0
8,37,-0.478662,0,0,0
9,37,-0.47962,0,0,0
10,37,-0.47962,0,0,0
1,38,0.68278,0,0,0
2,38,0.680169,0,0,0
3,38,0.681474,0,0,0
4,38,0.68282,0,0,0
5,38,0.681337,0,0,0
6,38,0.681596,0,0,0
7,38,0.681559,0,0,0
8,38,0.679737,0,0,0
9,38,0.682484,0,0,0
10,38,0.682784,0,0,0
1,39,0.750715,0,0,0
2,39,0.752136,0,0,0
3,39,0.749691,0,0,0
4,39,0.750054,0,0,0
5,39,0.748523,0,0,0
6,39,0.751747,0,0,0
7,39,0.749632,0,0,0
8,39,0.751895,0,0,0
9,39,0.749213,0,0,0
10,39,0.749568,0,0,0
1,40,-0.302135,0,0,0
2,40,-0.301536,0,0,0
3,40,-0.30576,0,0,0
4,40,-0.299963,0,0,0
5,40,-0.304681,0,0,0
6,40,-0.304735,0,0,0
7,40,-0.303659,0,0,0
