id,time,yS,group
47,100,293.427246373189,simulationGroup1
48,0,0.5553054691113233,simulationGroup1
48,50,188.906456000903,simulationGroup1
48,100,377.359500720937,simulationGroup1
49,0,0.3172914469235678,simulationGroup1
49,50,192.116541324912,simulationGroup1
49,100,386.07605460235,simulationGroup1
50,0,-0.4838290532362914,simulationGroup1
50,50,243.337174958914,simulationGroup1
50,100,485.935413812285,simulationGroup1
