rep,id,eta_delta_S,eta_phi_S,eta_delta_AB,eta_alpha_11,eta_alpha_12,eta_alpha_13,eta_alpha_14,eta_alpha_15
4,96,-0.0206542,-1.34767,-0.161129,0,0,0,0,0
5,96,-0.127495,-1.2202,-0.163177,0,0,0,0,0
1,97,-0.135486,0.571605,0.643326,0,0,0,0,0
2,97,-0.015249,0.505934,0.661109,0,0,0,0,0
3,97,0.00940292,0.658877,0.663392,0,0,0,0,0
4,97,-0.0246698,0.428522,0.636013,0,0,0,0,0
5,97,0.0575726,0.584816,0.63488,0,0,0,0,0
1,98,0.0160275,-0.76322,0.420269,0,0,0,0,0
2,98,-0.132094,-0.689297,0.421987,0,0,0,0,0
3,98,-0.0809173,-0.834891,0.449357,0,0,0,0,0
4,98,-0.00414245,-0.851613,0.446334,0,0,0,0,0
5,98,-0.0251022,-0.663002,0.447094,0,0,0,0,0
1,99,0.0195517,0.435808,-0.0700335,0,0,0,0,0
2,99,-0.0427811,0.625218,0.029892,0,0,0,0,0
3,99,-0.0321992,0.198223,0.0151827,0,0,0,0,0
4,99,-0.0330264,0.448758,-0.0199794,0,0,0,0,0
5,99,0.000612006,0.430924,-0.0625252,0,0,0,0,0
1,100,0.0398711,0.155493,-0.0401858,0,0,0,0,0
2,100,-0.00919516,0.0700733,-0.0466505,0,0,0,0,0
3,100,-0.174407,0.0621894,-0.0405303,0,0,0,0,0
4,100,0.0241259,0.017615,-0.0924218,0,0,0,0,0
5,100,0.0141035,0.180195,-0.0651715,0,0,0,0,0
