rep,id,delta_S,phi_S,delta_AB,alpha_11,alpha_12,alpha_13,alpha_14,alpha_15
3,96,0.25368,137.724,0.0198528,0.101409,0,0,0,0
4,96,0.235514,150.128,0.0211657,0.101409,0,0,0,0
5,96,0.211649,170.537,0.0211224,0.101409,0,0,0,0
1,97,0.209964,1023.27,0.0473154,0.101409,0,0,0,0
2,97,0.23679,958.227,0.0481643,0.101409,0,0,0,0
3,97,0.2427,1116.58,0.0482744,0.101409,0,0,0,0
4,97,0.23457,886.847,0.0469706,0.101409,0,0,0,0
5,97,0.254677,1036.88,0.0469174,0.101409,0,0,0,0
1,98,0.244313,269.328,0.0378556,0.101409,0,0,0,0
2,98,0.210677,289.992,0.0379207,0.101409,0,0,0,0
3,98,0.22174,250.701,0.0389729,0.101409,0,0,0,0
4,98,0.239435,246.544,0.0388553,0.101409,0,0,0,0
5,98,0.234468,297.719,0.0388848,0.101409,0,0,0,0
1,99,0.245176,893.332,0.0231843,0.101409,0,0,0,0
2,99,0.23036,1079.62,0.0256207,0.101409,0,0,0,0
3,99,0.23281,704.42,0.0252466,0.101409,0,0,0,0
4,99,0.232618,904.977,0.0243743,0.101409,0,0,0,0
5,99,0.240576,888.98,0.023359,0.101409,0,0,0,0
1,100,0.250208,674.954,0.0238867,0.101409,0,0,0,0
2,100,0.238228,619.693,0.0237328,0.101409,0,0,0,0
3,100,0.201949,614.827,0.0238785,0.101409,0,0,0,0
4,100,0.2463,588.023,0.022671,0.101409,0,0,0,0
5,100,0.243843,691.834,0.0232973,0.101409,0,0,0,0
