id,delta_S_SAEM,phi_S_SAEM,delta_AB_SAEM,alpha_11_SAEM,alpha_12_SAEM,alpha_13_SAEM,alpha_14_SAEM,alpha_15_SAEM,delta_S_mean,phi_S_mean,delta_AB_mean,alpha_11_mean,alpha_12_mean,alpha_13_mean,alpha_14_mean,alpha_15_mean,delta_S_sd,phi_S_sd,delta_AB_sd,alpha_11_sd,alpha_12_sd,alpha_13_sd,alpha_14_sd,alpha_15_sd
36,0.245956,413.358,0.0228029,0.101497,0,0,0,0,0.244994,422.538,0.0229236,0.101409,0,0,0,0,0.0126854,75.3599,0.00104745,0,0,0,0,0
37,0.243198,335.828,0.0209207,0.101497,0,0,0,0,0.240047,339.123,0.0209468,0.101409,0,0,0,0,0.0135562,56.641,0.000919947,0,0,0,0,0
38,0.243567,127.866,0.0330281,0.101497,0,0,0,0,0.242365,133.696,0.0330802,0.101409,0,0,0,0,0.0141925,29.446,0.00110173,0,0,0,0,0
39,0.242652,802.001,0.0325146,0.101497,0,0,0,0,0.240071,784.211,0.0325768,0.101409,0,0,0,0,0.014002,151.631,0.000902392,0,0,0,0,0
40,0.240498,1092.84,0.0225543,0.101497,0,0,0,0,0.241657,1163.85,0.0230566,0.101409,0,0,0,0,0.0123449,213.343,0.00096065,0,0,0,0,0
41,0.242411,253.469,0.0337757,0.101497,0,0,0,0,0.24391,255.299,0.0336465,0.101409,0,0,0,0,0.0144962,47.6728,0.000831655,0,0,0,0,0
42,0.241308,362.189,0.0252826,0.101497,0,0,0,0,0.240529,366.793,0.0252691,0.101409,0,0,0,0,0.0159635,78.3902,0.0010377,0,0,0,0,0
43,0.245197,564.007,0.0208774,0.101497,0,0,0,0,0.244018,537.018,0.0206278,0.101409,0,0,0,0,0.0130784,113.616,0.00117527,0,0,0,0,0
44,0.245658,667.987,0.0249415,0.101497,0,0,0,0,0.245558,667.072,0.0250867,0.101409,0,0,0,0,0.0130798,118.946,0.000995547,0,0,0,0,0
45,0.235876,1228.56,0.0311414,0.101497,0,0,0,0,0.237264,1187.77,0.0309559,0.101409,0,0,0,0,0.0154567,253.36,0.00123272,0,0,0,0,0
