id,eta_delta_S_SAEM,eta_phi_S_SAEM,eta_delta_AB_SAEM,eta_alpha_11_SAEM,eta_alpha_12_SAEM,eta_alpha_13_SAEM,eta_alpha_14_SAEM,eta_alpha_15_SAEM,eta_delta_S_mean,eta_phi_S_mean,eta_delta_AB_mean,eta_alpha_11_mean,eta_alpha_12_mean,eta_alpha_13_mean,eta_alpha_14_mean,eta_alpha_15_mean,eta_delta_S_sd,eta_phi_S_sd,eta_delta_AB_sd,eta_alpha_11_sd,eta_alpha_12_sd,eta_alpha_13_sd,eta_alpha_14_sd,eta_alpha_15_sd
48,0.00516951,-0.0216328,-0.0644616,0,0,0,0,0,-0.0185534,-0.045194,-0.0669461,0,0,0,0,0,0.0535034,0.157906,0.0368159,0,0,0,0,0
49,-0.00450773,0.0633798,-0.104431,0,0,0,0,0,-0.00931213,0.0828758,-0.0995087,0,0,0,0,0,0.049952,0.192248,0.0450402,0,0,0,0,0
50,-0.00585515,0.276985,0.331095,0,0,0,0,0,-0.0232445,0.265632,0.331504,0,0,0,0,0,0.0547806,0.19338,0.0302946,0,0,0,0,0
51,-0.0211053,0.780909,0.127438,0,0,0,0,0,-0.0167187,0.774185,0.118901,0,0,0,0,0,0.0538003,0.17986,0.0373279,0,0,0,0,0
52,-0.00318204,0.686004,0.0370044,0,0,0,0,0,0.00392943,0.634635,0.0251776,0,0,0,0,0,0.0541944,0.166797,0.0399703,0,0,0,0,0
53,-0.00512021,0.992244,-0.0681152,0,0,0,0,0,0.011834,0.990564,-0.0806235,0,0,0,0,0,0.0536911,0.168795,0.0434756,0,0,0,0,0
54,0.0145734,-0.272554,0.156318,0,0,0,0,0,0.000939954,-0.3191,0.154427,0,0,0,0,0,0.0543317,0.192278,0.0322316,0,0,0,0,0
55,0.0276232,0.0621372,0.240667,0,0,0,0,0,0.0184215,0.106629,0.24782,0,0,0,0,0,0.0496756,0.171677,0.0337031,0,0,0,0,0
56,-0.00320931,1.16135,-0.23593,0,0,0,0,0,-0.0146148,1.0946,-0.246232,0,0,0,0,0,0.0583141,0.191016,0.0502261,0,0,0,0,0
57,0.00790512,-0.257727,0.173488,0,0,0,0,0,0.0133033,-0.171326,0.185167,0,0,0,0,0,0.072093,0.203982,0.0350235,0,0,0,0,0
58,0.00720571,0.308346,0.798369,0,0,0,0,0,0.00740153,0.324425,0.799725,0,0,0,0,0,0.0490304,0.145352,0.0149733,0,0,0,0,0
